formal_section,passage_count
Part 10: Majors and Courses,745
Chinese as Second Language Courses,29
"Section 3, Credits Required for Degrees.)",26
Students on Academic Probation,20
Estimated Expenses,14
Credits Required for Degree,12
Chinese Society and Culture Coursesa,12
Mission Statement,11
Academic Recognition and Honors,10
Credit (CR/NC) Grading System.),9
Grading and Grade Requirements,8
Student Affairs Conceptual Framework,8
International Placement Credit (IPC),7
Time Limit for Completing Undergraduate Degree,7
Athletics & University Sports,6
Incomplete Coursework and Excused Absence from Final Exam,6
Procedure for Resolution of Students' Academic Concerns,5
Chinese Student Services and Student Mobility,5
A Liberal Arts College Experience,5
Academic Advising,5
(NOTE: CALENDAR SUBJECT TO CHANGE),5
Career Services,5
Office of Global Education and Study Away,4
Work Taken After Matriculation at Duke Kunshan University,4
"Biology, Genetics and Genomics",4
Key Components,4
Part 3: The Curriculum,4
"Transfer of Work Taken Elsewhere, Part 6.)",4
Blue Oasis Student Center,4
The Modern Regulatory State 4,4
"Environmental Justice: The Economics of Race, Place and",4
Class Attendance and Missed Work,4
Submission of Term Paper,3
Study Away at Duke University,3
Refer to Duke Kunshan University Student Handbook,3
Compliance with Academic Regulations,3
Academic Integrity,3
Scholarships and Financial Aid,3
Full-time and Part-time Degree Status,2
Science and Religious Studies,2
Satisfactory Performance Each Term (Term Credit Requirements),2
Other Study Away Programs,2
Machine Learning and AI,2
Seven Principles of Duke Kunshan University Academic Advising,2
Part 1: General Information,2
The W and WA Designations,2
Academic Integrity: Undergraduate Program Policies,2
"Part 4: Admission, Scholarships and Financial Aid",2
• Gaokao: Early June,2
• Campus Day: March,2
o SAT Subject Tests,2
Restriction on Past Due Accounts,2
Withdraw Date Refund %,2
• International Student Services: DKU-ISS@dukekunshan.edu.cn,2
• Prematriculation College Credit,2
Transfer of Work Taken Elsewhere,2
Entrance Credit and Placement,1
Applied Mathematics and Computational Sciences/Computer Science,1
• Registrar's Office: DKU-registrar@dukekunshan.edu.cn,1
Duke Kunshan University Community Standard,1
A 21st Century Curriculum,1
Figure 1. Course Distribution and Graduation Requirements,1
Work Taken During High School,1
Application Timelines,1
• Decision Notification Date: Mid-March,1
Global Networks Concentration Courses,1
Environmental Sustainability Concentration Courses,1
Urban Design Concentration Courses,1
Human Behavior Using Data from the Internet,1
ARHU101 The Art of Interpretation: Written Texts 4,1
Two Signature Work Capstone Courses (8 credits),1
Part 7: Academic Advising and Support,1
Language Courses (8-16 Credits),1
College Board Advanced Placement Program (AP) Examinations,1
Requirements for All Majors,1
• High School Transcript5,1
Transfer Credit for Foreign Language,1
Student Clubs and Organizations,1
Forfeiture of Precollege Credit Awarded,1
• School Recommendation Form,1
Student Affairs,1
• Signed Consent Form,1
Course Approval and Credit Transfer,1
• A Teacher Recommendation Form,1
Part 5: Financial Information,1
• Counselor Recommendation Letter,1
